energy,tempo,danceability,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_id,track_name,instrumentalness,mode,key,duration_ms,acousticness,type,genre,plot
0.592,157.969,0.521,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3,0.0304,100,spotify:track:2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe,Die With A Smile,0.0,0,6,251668,0.308,music,"pop,global","""Die With A Smile""는 중간 정도의 에너지를 지닌 곡으로, 감정적으로 깊이 있는 분위기를 전달합니다. 비트가 빠르고 댄스하기 좋은 요소를 갖추고 있지만, 단조의 조화가 곡에 약간의 쓸쓸함을 더해줍니다. 전체적으로는 경쾌하면서도 감성적인 느낌이 어우러져, 듣는 이에게 복잡한 감정을 불러일으키는 매력이 있습니다."
0.783,149.027,0.777,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4,0.26,98,spotify:track:5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY,APT.,0.0,0,0,169917,0.0283,music,"pop,global","이 곡은 강렬한 에너지를 지니고 있으며, 경쾌한 비트와 함께 듣는 이로 하여금 자연스럽게 몸을 흔들게 만드는 댄스 가능성이 높습니다. 밝은 분위기를 가진 발라드와는 달리, 마이너 모드의 사용으로 약간의 감정적인 깊이를 더해주며, 전체적으로는 희망적이고 긍정적인 느낌을 전달합니다. 빠른 템포와 함께 강한 리듬이 어우러져, 듣는 이에게 활력을 주는 매력적인 트랙입니다."
0.507,104.978,0.747,-10.171,0.117,0.438,Billie Eilish,4,0.0358,97,spotify:track:6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,0.0608,1,2,210373,0.2,music,"pop,mainstream","""BIRDS OF A FEATHER""는 중간 정도의 에너지를 지닌 곡으로, 부드럽고 감성적인 멜로디가 특징입니다. 댄스하기 좋은 리듬을 가지고 있지만, 전체적으로는 차분한 분위기를 유지하며, 약간의 우울함이 느껴지는 발라드적인 요소도 엿보입니다. 이 곡은 경쾌함과 서정성이 조화를 이루며, 듣는 이에게 편안함과 동시에 깊은 감정을 불러일으킵니다."
0.582,116.712,0.7,-5.96,0.0881,0.785,Chappell Roan,4,0.0356,94,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",0.0,0,11,218424,0.0502,music,"pop,mainstream","""Good Luck, Babe!""는 경쾌하면서도 약간의 쓸쓸함이 느껴지는 곡입니다. 에너지가 적당히 높고, 발랄한 분위기를 자아내는 발라드 리듬이 특징입니다. 비록 단조로 구성되어 있지만, 밝은 감정의 요소가 잘 어우러져 있어 듣는 이에게 희망적인 느낌을 전달합니다."
0.668,128.027,0.924,-6.795,0.0678,0.787,KAROL G,4,0.0469,93,spotify:track:6WatFBLVB0x077xWeoVc2k,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,0.000594,1,11,195824,0.446,music,"pop,mainstream","""Si Antes Te Hubiera Conocido""는 경쾌하고 활기찬 분위기를 자아내는 곡입니다. 에너지가 높고 댄스하기 좋은 리듬이 특징으로, 듣는 이로 하여금 자연스럽게 몸을 흔들게 만듭니다. 밝은 장조의 멜로디와 함께 긍정적인 감정이 가득 담겨 있어, 기분 좋은 순간을 더욱 특별하게 만들어주는 매력이 있습니다."
0.651,112.648,0.694,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3,0.0784,93,spotify:track:1cOboCuWYI2osTOfolMRS6,1cOboCuWYI2osTOfolMRS6,Tu Boda,1.36e-05,1,6,225881,0.496,music,"pop,mainstream","""Tu Boda""는 경쾌한 비트와 함께 중간 정도의 에너지를 지닌 곡으로, 듣는 이에게 즐거운 기분을 선사합니다. 댄스하기 좋은 리듬과 함께 약간의 감성을 담고 있어, 결혼식이나 축제와 같은 특별한 순간에 잘 어울립니다. 전체적으로 밝고 긍정적인 분위기를 유지하며, 듣는 이로 하여금 기분이 좋아지는 경험을 제공합니다."
0.247,148.101,0.467,-12.002,0.17,0.126,Billie Eilish,4,0.0431,93,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,0.000271,0,6,261467,0.612,music,"pop,global","""WILDFLOWER""는 차분하면서도 우울한 분위기를 자아내는 곡입니다. 낮은 에너지와 음의 경쾌함이 부족한 발라드적 요소가 느껴지며, 감정적으로 깊이 있는 멜로디가 특징입니다. 잔잔한 어쿠스틱 사운드와 함께 미묘한 긴장감을 유지하며, 듣는 이로 하여금 사색에 잠기게 만드는 매력이 있습니다."
0.907,112.964,0.674,-4.086,0.297,0.721,Sabrina Carpenter,4,0.064,93,spotify:track:5G2f63n7IPVPPjfNIGih7Q,5G2f63n7IPVPPjfNIGih7Q,Taste,0.0,1,3,157280,0.101,music,"pop,global","'Taste'는 활기차고 경쾌한 분위기를 자아내는 곡입니다. 높은 에너지와 긍정적인 감정이 느껴지며, 댄스하기 좋은 리듬이 매력적입니다. 전체적으로 밝은 장조로 구성되어 있어 듣는 이에게 즐거움과 활력을 주는 느낌을 선사합니다."
0.808,108.548,0.554,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,spotify:track:7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,That’s So True,0.0,1,1,166300,0.214,music,"pop,global","""That’s So True""는 에너지가 넘치면서도 약간의 우울함이 느껴지는 곡입니다. 중간 템포와 함께 경쾌한 비트가 조화를 이루어, 듣는 이로 하여금 자연스럽게 몸을 흔들게 만듭니다. 전체적으로 밝은 장조의 분위기를 유지하고 있지만, 감정적으로는 복잡한 느낌을 주어 깊은 여운을 남깁니다."
0.413,94.938,0.494,-10.432,0.193,0.273,Gigi Perez,4,0.0254,93,spotify:track:2262bWmqomIaJXwCRHr13j,2262bWmqomIaJXwCRHr13j,Sailor Song,6.72e-05,1,11,211979,0.682,music,"folk,indie","""Sailor Song""은 부드럽고 잔잔한 포크와 인디의 매력을 지닌 곡입니다. 에너지가 중간 정도로, 차분하면서도 감정이 담긴 멜로디가 특징적입니다. 다소 우울한 느낌의 발라드로, 따뜻한 어쿠스틱 사운드가 감성을 자극하며, 느긋한 템포가 여유로운 분위기를 만들어냅니다."
0.756,116.034,0.66,-3.743,0.193,0.838,Jimin,4,0.032,92,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,7tI8dRuH2Yc6RuoTjxo4dU,Who,0.0,0,0,170888,0.00289,music,"pop,mainstream","이 곡은 강렬한 에너지를 지니고 있으며, 경쾌한 비트와 함께 감정적인 멜로디가 어우러져 있습니다. 밝은 분위기를 가진 발라드와는 달리, 단조의 조화가 깊은 감성을 전달하며, 듣는 이로 하여금 몰입하게 만드는 매력이 있습니다. 전체적으로는 댄스하기 좋은 리듬을 가지고 있지만, 그 속에 감춰진 서정적인 요소가 곡의 분위기를 더욱 풍부하게 만들어 줍니다."
0.722,119.973,0.769,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4,0.0507,92,spotify:track:1Es7AUAhQvapIcoh3qMKDL,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2.56e-06,0,11,256000,0.0584,music,"hip-hop,modern","""Timeless""는 강렬한 에너지를 지닌 곡으로, 리드미컬한 비트와 함께 경쾌한 댄스 감각이 돋보입니다. 약간의 우울함이 느껴지는 단조의 분위기 속에서도, 중간 정도의 긍정적인 감정이 섞여 있어 듣는 이로 하여금 매력을 느끼게 합니다. 전체적으로 세련된 현대적인 힙합 사운드가 특징이며, 감정의 깊이를 더하는 요소들이 잘 어우러져 있습니다."
0.727,94.99,0.739,-5.968,0.104,0.676,Sabrina Carpenter,4,0.0426,90,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,0.0,0,11,171870,0.0678,music,"pop,global","""Bed Chem""은 중간 템포의 곡으로, 에너지가 넘치면서도 약간의 우울한 감정을 담고 있습니다. 댄스하기 좋은 리듬과 경쾌한 멜로디가 조화를 이루어, 듣는 이로 하여금 자연스럽게 몸을 움직이게 만듭니다. 전체적으로는 세련된 팝 사운드가 느껴지며, 감정의 깊이를 더하는 마이너 모드가 곡의 분위기를 한층 더 매력적으로 만들어 줍니다."
0.807,124.053,0.612,-2.81,0.101,0.398,The Neighbourhood,4,0.0336,90,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,0.0177,1,10,240400,0.0495,music,"pop,global","""Sweater Weather""는 에너지가 넘치면서도 약간의 우울함이 느껴지는 곡입니다. 중간 템포와 적당한 댄스 가능성 덕분에 리드미컬한 분위기를 자아내지만, 발랄함보다는 감성적인 요소가 더 두드러집니다. 전체적으로는 따뜻한 느낌을 주는 장조의 멜로디가 특징적이며, 듣는 이에게 편안하면서도 몽환적인 감정을 선사합니다."
0.76,103.969,0.701,-5.478,0.185,0.69,Sabrina Carpenter,4,0.0285,90,spotify:track:2qSkIjg1o9h3YT9RAgYN75,2qSkIjg1o9h3YT9RAgYN75,Espresso,6.54e-05,1,0,175459,0.107,music,"gaming,modern","""Espresso""는 경쾌하고 활기찬 분위기를 자아내는 곡입니다. 에너지가 높고 댄스하기 좋은 리듬이 특징으로, 듣는 이로 하여금 자연스럽게 몸을 움직이게 만듭니다. 밝은 장조의 멜로디와 함께 적당한 템포가 조화를 이루어, 게임을 즐기거나 일상에서 활력을 찾고 싶을 때 듣기 좋은 트랙입니다."
0.559,78.558,0.558,-9.222,0.109,0.62,"Tyler, The Creator, Kali Uchis",4,0.0959,90,spotify:track:7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),7.49e-06,1,6,180387,0.371,music,"pop,global","""See You Again""은 부드럽고 감성적인 분위기를 자아내는 곡입니다. 중간 정도의 에너지를 가지고 있으며, 경쾌함과 따뜻함이 느껴지는 멜로디가 특징입니다. 느긋한 템포와 장조의 조화로 인해 듣는 이에게 편안함을 주며, 감정적으로 연결되는 순간을 만들어냅니다."
