energy,tempo,danceability,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_id,track_name,instrumentalness,mode,key,duration_ms,acousticness,type,genre
0.592,157.969,0.521,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3,0.0304,100,spotify:track:2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe,Die With A Smile,0.0,0,6,251668,0.308,music,"pop,global"
0.783,149.027,0.777,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4,0.26,98,spotify:track:5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY,APT.,0.0,0,0,169917,0.0283,music,"pop,global"
0.507,104.978,0.747,-10.171,0.117,0.438,Billie Eilish,4,0.0358,97,spotify:track:6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,0.0608,1,2,210373,0.2,music,"pop,mainstream"
0.582,116.712,0.7,-5.96,0.0881,0.785,Chappell Roan,4,0.0356,94,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",0.0,0,11,218424,0.0502,music,"pop,mainstream"
0.668,128.027,0.924,-6.795,0.0678,0.787,KAROL G,4,0.0469,93,spotify:track:6WatFBLVB0x077xWeoVc2k,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,0.000594,1,11,195824,0.446,music,"pop,mainstream"
0.651,112.648,0.694,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3,0.0784,93,spotify:track:1cOboCuWYI2osTOfolMRS6,1cOboCuWYI2osTOfolMRS6,Tu Boda,1.36e-05,1,6,225881,0.496,music,"pop,mainstream"
0.247,148.101,0.467,-12.002,0.17,0.126,Billie Eilish,4,0.0431,93,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,0.000271,0,6,261467,0.612,music,"pop,global"
0.907,112.964,0.674,-4.086,0.297,0.721,Sabrina Carpenter,4,0.064,93,spotify:track:5G2f63n7IPVPPjfNIGih7Q,5G2f63n7IPVPPjfNIGih7Q,Taste,0.0,1,3,157280,0.101,music,"pop,global"
0.808,108.548,0.554,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,spotify:track:7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,That’s So True,0.0,1,1,166300,0.214,music,"pop,global"
0.413,94.938,0.494,-10.432,0.193,0.273,Gigi Perez,4,0.0254,93,spotify:track:2262bWmqomIaJXwCRHr13j,2262bWmqomIaJXwCRHr13j,Sailor Song,6.72e-05,1,11,211979,0.682,music,"folk,indie"
0.756,116.034,0.66,-3.743,0.193,0.838,Jimin,4,0.032,92,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,7tI8dRuH2Yc6RuoTjxo4dU,Who,0.0,0,0,170888,0.00289,music,"pop,mainstream"
0.722,119.973,0.769,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4,0.0507,92,spotify:track:1Es7AUAhQvapIcoh3qMKDL,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2.56e-06,0,11,256000,0.0584,music,"hip-hop,modern"
0.727,94.99,0.739,-5.968,0.104,0.676,Sabrina Carpenter,4,0.0426,90,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,0.0,0,11,171870,0.0678,music,"pop,global"
0.807,124.053,0.612,-2.81,0.101,0.398,The Neighbourhood,4,0.0336,90,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,0.0177,1,10,240400,0.0495,music,"pop,global"
0.76,103.969,0.701,-5.478,0.185,0.69,Sabrina Carpenter,4,0.0285,90,spotify:track:2qSkIjg1o9h3YT9RAgYN75,2qSkIjg1o9h3YT9RAgYN75,Espresso,6.54e-05,1,0,175459,0.107,music,"gaming,modern"
0.559,78.558,0.558,-9.222,0.109,0.62,"Tyler, The Creator, Kali Uchis",4,0.0959,90,spotify:track:7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),7.49e-06,1,6,180387,0.371,music,"pop,global"
0.406,115.94,0.53,-7.507,0.133,0.338,Gracie Abrams,3,0.033,90,spotify:track:51rfRCiUSvxXlCSCfIztBy,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",0.0,1,10,157147,0.656,music,"pop,global"
0.417,67.528,0.464,-9.345,0.0974,0.479,Arctic Monkeys,4,0.0256,90,spotify:track:5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,0.022,0,0,183956,0.136,music,"pop,global"
