track_id,title,artist,genres,spotify_link,thumbnail_url
4ZQHxaOh3hALx6fXuRpqtv,KISS FOR YOU,Mamalaid Rag,코미디/힐링,https://open.spotify.com/track/4ZQHxaOh3hALx6fXuRpqtv,https://i.scdn.co/image/ab67616d0000b273ca3a046365ae73849a87c2ad
370QRRFHtg1fjSpVX5UHYv,I'm Dreamin',Mamalaid Rag,코미디/힐링,https://open.spotify.com/track/370QRRFHtg1fjSpVX5UHYv,https://i.scdn.co/image/ab67616d0000b2735f4a82adf15c46bd07d4f071
0EUPCSi9xOiD8izVOVq5T5,Mexico,Destiny Road,코미디/힐링,https://open.spotify.com/track/0EUPCSi9xOiD8izVOVq5T5,https://i.scdn.co/image/ab67616d0000b273faf02c5ee8e26aa3f086c700
0K0Ri913PLEK6LlzRMRiBQ,Ocean Ocean,The Chills,코미디/힐링,https://open.spotify.com/track/0K0Ri913PLEK6LlzRMRiBQ,https://i.scdn.co/image/ab67616d0000b2734055acfc9289829f451e6cf3
5YeWcY6ZJLiwurGayztmZu,한번 더 생각해봐,PAPERCUT PROJECT,코미디/힐링,https://open.spotify.com/track/5YeWcY6ZJLiwurGayztmZu,https://i.scdn.co/image/ab67616d0000b2738db5441999e0e4ac1633aa61
5Hbvy2ptEsXtTPuCAhRdj3,Lost Myself,Jo MacKenzie,코미디/힐링,https://open.spotify.com/track/5Hbvy2ptEsXtTPuCAhRdj3,https://i.scdn.co/image/ab67616d0000b273f5a6bda594883af1ba3141c8
5GZTpTolPHO6hxqyxerVih,We'll Never Know,Jon Whitlock Trio,코미디/힐링,https://open.spotify.com/track/5GZTpTolPHO6hxqyxerVih,https://i.scdn.co/image/ab67616d0000b273d08d732d4595f0184d569b12
48sYnuPGcEbWQJ2PVOebAX,"La Fazan, ku je ti?",La Fazani,코미디/힐링,https://open.spotify.com/track/48sYnuPGcEbWQJ2PVOebAX,https://i.scdn.co/image/ab67616d0000b2736a277b05a4e7fed94075106e
29br4h300e5GpOxrl74diU,66 Knots,Oakridge Ave.,코미디/힐링,https://open.spotify.com/track/29br4h300e5GpOxrl74diU,https://i.scdn.co/image/ab67616d0000b273320ea1fbb2c326d42b4481c3
4WLBjXfvqQ2Cm8Ivoi7AWm,Get What You Get,Bears and Lions,코미디/힐링,https://open.spotify.com/track/4WLBjXfvqQ2Cm8Ivoi7AWm,https://i.scdn.co/image/ab67616d0000b27398ff4601dd08a99b9e3c23c8
7H16OVKLEGyiynvKjbjDFV,Logic vs. Reality,Quartjar,코미디/힐링,https://open.spotify.com/track/7H16OVKLEGyiynvKjbjDFV,https://i.scdn.co/image/ab67616d0000b273f4f2aa1311706d5bcae86bf4
6QMlTYdSyZNftZ3BujkhqD,Мосты,Noar,코미디/힐링,https://open.spotify.com/track/6QMlTYdSyZNftZ3BujkhqD,https://i.scdn.co/image/ab67616d0000b2734eb7b88274283bde6de0bdce
2TRP8G9i2upSWrKp9rLr1I,Spiritual Revolution,Peter Elmberg,코미디/힐링,https://open.spotify.com/track/2TRP8G9i2upSWrKp9rLr1I,https://i.scdn.co/image/ab67616d0000b27384de617446733628558d198f
2OCJane8RB4QRDsnxIYlQL,Sometimes I Feel,Home Grown Head,코미디/힐링,https://open.spotify.com/track/2OCJane8RB4QRDsnxIYlQL,https://i.scdn.co/image/ab67616d0000b27336976e6ca9a87f29a9325c6e
21VMTlKcU44oIJtGXc3NvX,Solen går upp,Peter Elmberg,코미디/힐링,https://open.spotify.com/track/21VMTlKcU44oIJtGXc3NvX,https://i.scdn.co/image/ab67616d0000b2732dedf5ba57647429e8011a78
78e2Vwxz9lgTRgoL0ioRSW,Andhakarer Ajana,Krosswindz,코미디/힐링,https://open.spotify.com/track/78e2Vwxz9lgTRgoL0ioRSW,https://i.scdn.co/image/ab67616d0000b2738894824ef139a2af93798f59
4YCQKL7rZrTvTHHUDhe4VG,Stay with You,Jon Whitlock Trio,코미디/힐링,https://open.spotify.com/track/4YCQKL7rZrTvTHHUDhe4VG,https://i.scdn.co/image/ab67616d0000b273d08d732d4595f0184d569b12
7Eu1oChi1AAaBEqOWuFWUW,I Get Caught,Peak Physique,코미디/힐링,https://open.spotify.com/track/7Eu1oChi1AAaBEqOWuFWUW,https://i.scdn.co/image/ab67616d0000b273e792c4b3fdb91ef61afcc912
38z1CqZ28SgQp2X6oaPZIc,1997,Bend Sinister,코미디/힐링,https://open.spotify.com/track/38z1CqZ28SgQp2X6oaPZIc,https://i.scdn.co/image/ab67616d0000b273d4a3cfe97442cc21e407bb2d
2bskDr8upueIk1z2REdzXA,Same in Me,Maxwell Gendler,코미디/힐링,https://open.spotify.com/track/2bskDr8upueIk1z2REdzXA,https://i.scdn.co/image/ab67616d0000b2731c4694074f86573006e8283b
5f8GhrSRn5mTKR27MnhbsH,2nd 3rd,Jaejoo Boys,코미디/힐링,https://open.spotify.com/track/5f8GhrSRn5mTKR27MnhbsH,https://i.scdn.co/image/ab67616d0000b2731209825bc543ea5e08d522dd
0HLl4kteOTRKyhMy8V0f4c,Atiter Purbabhas,Road Roller,코미디/힐링,https://open.spotify.com/track/0HLl4kteOTRKyhMy8V0f4c,https://i.scdn.co/image/ab67616d0000b273c70e24babba29f98f806a5cd
7INGYVWjbFCt15iqHJER5V,Cutting Loose,Simple Poets,코미디/힐링,https://open.spotify.com/track/7INGYVWjbFCt15iqHJER5V,https://i.scdn.co/image/ab67616d0000b2736c24bc7aa9328284f22cc284
0mD191sN38cZWMfiGPVCT3,Ditet E Shtatorit - Live,Florent Nushi,코미디/힐링,https://open.spotify.com/track/0mD191sN38cZWMfiGPVCT3,https://i.scdn.co/image/ab67616d0000b273eddf5ff41cf7239105977ae1
3v6Azc5NplhmZxeVKBLxaj,Ännu här,Gunnar Danielsson,코미디/힐링,https://open.spotify.com/track/3v6Azc5NplhmZxeVKBLxaj,https://i.scdn.co/image/ab67616d0000b2736a393d18fb078cde92761070
6trbcuWZswos0xs5NpiAEg,Pank i Paris,Gunnar Danielsson,코미디/힐링,https://open.spotify.com/track/6trbcuWZswos0xs5NpiAEg,https://i.scdn.co/image/ab67616d0000b273af7513aa788cc1b321b87d97
3TxLdamr68JMH4e3HPY4kO,Hon Tar Sej In,Peter Glyt,코미디/힐링,https://open.spotify.com/track/3TxLdamr68JMH4e3HPY4kO,https://i.scdn.co/image/ab67616d0000b273502060f3ab7e7fb1fe52b18d
2y8tntxRpORhl5PfnnGOAN,Into the Night,Maxwell Gendler,코미디/힐링,https://open.spotify.com/track/2y8tntxRpORhl5PfnnGOAN,https://i.scdn.co/image/ab67616d0000b273d7e808444366baadd6da2853
3o7zZKEZ2o7GM7BZj9M7rU,Late Night Girls,Deux Trois,코미디/힐링,https://open.spotify.com/track/3o7zZKEZ2o7GM7BZj9M7rU,https://i.scdn.co/image/ab67616d0000b273b42cb77e9350ed4a50598880
69B7zL5GC92nSLI7rd2qtB,Defenses,The Pinklets,코미디/힐링,https://open.spotify.com/track/69B7zL5GC92nSLI7rd2qtB,https://i.scdn.co/image/ab67616d0000b27302263b84bba4644523478c32
6doSp9Xoh2i3mdQ3QyHocs,"묘해, 너와",Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/6doSp9Xoh2i3mdQ3QyHocs,https://i.scdn.co/image/ab67616d0000b273b2ec2d066c8b7bcf4198b828
7KpXmNwMOLmyIDeMb70fHI,너무 보고싶어,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/7KpXmNwMOLmyIDeMb70fHI,https://i.scdn.co/image/ab67616d0000b2735ff49fe94776c75e6f917144
6nhr8JRfbqowTnf7p7Ysv2,"그대와 나, 설레임 (Feat. 소울맨)",Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/6nhr8JRfbqowTnf7p7Ysv2,https://i.scdn.co/image/ab67616d0000b2734a4aa1612c299f28fc05ffce
6DY06u5rPyHKQQoxz3YHbP,What was that,ACOURVE,코미디/힐링,https://open.spotify.com/track/6DY06u5rPyHKQQoxz3YHbP,https://i.scdn.co/image/ab67616d0000b27357a24c86f37bc7f0c0968db6
7jhpmwo16vZACZmeCq1ASL,너를 잊을 수 있을까,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/7jhpmwo16vZACZmeCq1ASL,https://i.scdn.co/image/ab67616d0000b273bba585e319a3ccb1956611a9
56yQ1udY5C9lpOUDrhBpdM,제발,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/56yQ1udY5C9lpOUDrhBpdM,https://i.scdn.co/image/ab67616d0000b273be12d10e64314c81ac043df3
5W3lvWmHjCUrjlV31qerZ3,The Privileged (Original Soundtrack) '그러지마요',Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/5W3lvWmHjCUrjlV31qerZ3,https://i.scdn.co/image/ab67616d0000b2732f6ed6972616473074b4c034
