title,genres,overview,keywords,director,cast,runtime,popularity,vote_average,vote_count,release_date,poster_url,movie_id
리 크로닌의 미이라,"스릴러/범죄, 공포/호러","한 기자의 어린 딸이 흔적도 없이 사막으로 사라진다. 그리고 8년 후, 산산이 부서진 가족은 그녀가 다시 돌아왔다는 소식에 충격을 받는다. 하지만 기쁨으로 가득해야 할 재회는 곧 살아 있는 악몽으로 변해간다.","journalist, egypt, monster, ritual, kidnapping",리 크로닌,"잭 레이너, 라이아 코스타, 메이 칼라마위",133,604.065,8.0,795,2026-04-15,https://image.tmdb.org/t/p/w500/zXlwtzXP80yc3X0VokdxvmsFQfw.jpg,1304313
퍼니셔 원 라스트 킬,"액션, 스릴러/범죄",복수 이상의 의미를 찾아 헤매던 프랭크 캐슬은 뜻밖의 싸움을 다시 시작하게 된다.,"post-traumatic stress disorder (ptsd), gun, anti hero, hallucination, based on comic",Reinaldo Marcus Green,"존 번설, 데보라 앤 월, 제이슨 R. 무어",51,548.4984,8.485,1074,2026-05-12,https://image.tmdb.org/t/p/w500/dfKKipbQswChklXaaVTh6FP3oaJ.jpg,1439930
프로젝트 헤일메리,"액션, SF/미래",눈을 떠보니 아득한 우주의 한가운데에서 깨어난 중학교 과학교사 그레이스는 희미한 기억 속에서 자신이 죽어가는 태양으로부터 지구와 인류를 살릴 마지막 희망으로 이곳에 왔다는 사실을 알게 된다. 잃어버린 기억으로 인해 모든 것이 혼란스러운 상황에서 그레이스는 우연히 우주 한복판에서 같은 목적으로 온 뜻밖의 존재 로키를 만나게 되고 그레이스와 로키는 각 두 행성의 운명을 건 마지막 미션을 수행하러 떠나게 되는데…,"friendship, coma, based on novel or book, bravery, sun",필 로드,"라이언 고슬링, 산드라 휠러, 제임스 오티즈",157,399.5933,8.612,3844,2026-03-15,https://image.tmdb.org/t/p/w500/qqGpVVZk2KD1lAvccgTU4Z6nh1H.jpg,687163
슈퍼 마리오 갤럭시,"판타지, 액션","브루클린의 배관공에서 세계를 구한 히어로로 레벨업한 형제 ‘마리오’와 ‘루이지’는 모래 왕국에서 임무를 수행하던 중, 길을 잃은 ‘요시’를 구출하며 특별한 우정을 쌓게 된다. 한편, 무너진 ‘쿠파’ 가문의 명예를 되찾기 위해 악의 왕자 ‘쿠파주니어’는 은하계의 수호자이자 치코들의 엄마 ‘로젤리나’를 납치하고, 버섯 왕국에 잡힌 아빠 ‘쿠파’를 되찾기 위해 왕국을 습격한다. 다시 찾아온 위기 속에서 마리오와 루이지, 피치, 키노피오 그리고 새로 합류한 요시까지 로젤리나도 구하고, 쿠파주니어의 비범한 계획을 막기 위해 넓은 갤럭시로 뛰어들게 되는데…","galaxy, friendship, sibling relationship, space travel, turtle",마이클 제레닉,"크리스 프랫, 안야 테일러조이, 찰리 데이",99,375.5009,7.695,1487,2026-04-01,https://image.tmdb.org/t/p/w500/knaXOBDBecVBWZVup3zXaOoy23v.jpg,1226863
톰 클랜시의 잭 라이언: 고스트 워,"액션, 스릴러/범죄","잭 라이언은 국제 비밀 작전으로 치명적인 음모의 실체가 드러나면서 마지못해 다시 첩보의 세계로 끌려 들어간다. 시간과의 싸움 속에서 그는 CIA 동료 마이크 노벰버, 제임스 그리어, 그리고 냉철한 MI6 요원 에마 말로와 함께 통제권을 벗어난 블랙옵스 부대에 맞서며, 지금껏 가장 뼈아프고 혹독한 작전을 펼쳐나간다.","based on tv series, suspense",Andrew Bernstein,"존 크래신스키, 시에나 밀러, 웬들 피어스",107,372.0336,7.173,136,2026-05-20,https://image.tmdb.org/t/p/w500/3PufRWSVgSVwIr9M5YOmx4gu5Fu.jpg,1380291
뒤바뀐 친구들의 신비한 모험,"판타지, 액션",갑자기 몸이 뒤바뀌게 된 작은 숲속 생물과 위풍당당한 새. 일생일대의 모험을 헤쳐나가기 위해 어쩔 수 없이 힘을 합친다.,"wolf, buddy, forest fire, woodlands, forest lore",네이든 그레노,"마이클 B. 조던, 주노 템플, 트레이시 모건",102,314.2688,8.978,1278,2026-05-01,https://image.tmdb.org/t/p/w500/uv0iRQXDbtWHo1zPk3TZNo4Biti.jpg,1007757
악마는 프라다를 입는다,"코미디/힐링, 드라마/성장",명문대를 졸업한 소도시 출신의 앤드리아 삭스. 최고의 저널리스트 꿈을 안고 뉴욕에 상경하지만 그녀의 이력서를 보고 연락이 온 곳은 딱 한곳. 세계 최고의 패션지 런웨이 뿐이다. 그것도 기자가 아닌 편집장 미란다의 말단 비서로서. 미란다 프리슬리는 세계 패션쇼의 스케쥴을 바꿀 수 있을 만큼의 거물이지만 까다로운 완벽주의자로 악명이 높다. 직장생활의 꿈에 부푼 앤드리아. 그러나 현실은 지옥 그 자체. 악마 같은 미란다 밑에서 그녀는 과연 살아남을 수 있을까?,"new york city, journalist, paris, france, based on novel or book, journalism",데이비드 프랭클,"메릴 스트립, 앤 해서웨이, 에밀리 블런트",109,215.3848,7.418,13517,2006-06-29,https://image.tmdb.org/t/p/w500/lxjGbkRnY9d2j8cxIHxX57NNvRH.jpg,350
모탈 컴뱃 2,"판타지, 액션","왕년의 할리우드 액션 스타 ‘쟈니 케이지’. 무기는 ‘잘생긴 얼굴’ 하나뿐인 그가 지구의 운명을 짊어진 어스렐름의 전사로 낙점되어, 자비 없는 선혈의 전장 ‘모탈 컴뱃’ 토너먼트 리그에 강제 투입된다. 죽을 때까지 결코 끝나지 않는 토너먼트 속 ‘쟈니 케이지’는 궁극의 악 ‘샤오 칸’에 맞서, 복수를 위해 칼날을 간 에데니아의 공주 ‘키타나’와 어스렐름의 정예 전사들과 함께 위험천만한 리얼 액션에 뛰어드는데…","martial arts, magic, ninja fighter, gore, sequel",Simon McQuoid,"칼 어번, 아델린 루돌프, 제시카 맥너미",116,204.0723,6.875,256,2026-05-06,https://image.tmdb.org/t/p/w500/1NgBKiPrJzv1VHdEN8brdy59Rxo.jpg,931285
정점,"액션, 스릴러/범죄","슬픔에 잠긴 채 호주 오지로 모험을 떠난 여성. 홀로 자신의 한계를 밀어붙이던 중 목숨을 노리는 살인마를 맞닥뜨리고, 그가 교활하게 설계한 뒤틀린 게임에 속수무책으로 휘말린다.","canoe trip, rock climbing, foreboding, nutcase, survival instinct",Baltasar Kormákur,"샤를리즈 테론, 태런 에저턴, 에릭 배너",96,184.5595,6.675,1166,2026-04-24,https://image.tmdb.org/t/p/w500/wGHGVAJGTn2BqsuFfPK8lzPiKjH.jpg,1318447
모탈 컴뱃,"판타지, 액션",어스렐름와 아웃월드의 최강 챔피언들이 지구의 운명을 걸고 벌이는 서바이벌 대혈전 모탈 컴뱃. MMA 격투 선수 콜 영은 대전을 앞두고 선택 받은 전사들을 사전에 제거하려는 서브제로의 공격을 받는다. 지구와 가족을 보호하고 자기 혈통의 비밀을 알아내기 위해 모탈 컴뱃 토너먼트에 참가해 죽음의 전투를 치러야 한다!,"saving the world, magic, ninja fighter, gore, god",Simon McQuoid,"루이스 탠, 제시카 맥너미, 메커드 브룩스",110,173.1472,7.029,6596,2021-04-07,https://image.tmdb.org/t/p/w500/3dTg1pgasstOa0XJTwt3dBFHjFf.jpg,460465
