series_title,genres,author,sales_point,description,publisher,pub_date,cover_url,link,original_title,mood_kor,mood_eng
전지적 독자 시점,판타지,"슬리피-C (지은이), 싱숑 (원작), UMI (각색)",18910,"낙원의 멸망을 딛고 비상한 키메라 드래곤. 그리고 일행 앞에 주어진 새로운 시련. 김독자는 가장 사랑하는 존재에게 죽게 될 것이다. 예언대로 됐을 뿐이야. 독자야, 나는 세상 누구보다 너를 사랑한단다. 어쩌면 나 자신보다 더. 지금부터 모든 걸 ‘다시 읽을’ 거란다.",에이템포미디어,2026-05-22,https://image.aladin.co.kr/product/39372/72/coversum/k782139662_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393727271,총 22권 포함 (대표작: 전지적 독자 시점 19 - 초판한정: 캐릭터 카드 1종 + 엽서 1종),역동적인 액션,dynamic and colorful action
별정직 공무원,SF/미래,"권소라, 서재원 (지은이), ch (그림)",15200,"우주의 사고 후, 사직서를 내고 집에 틀어박힌 마루 앞에 갑자기 나타난 정일두 국장. 일두에게서 아빠의 충격적인 과거를 들은 마루는 진실을 파헤치기 위해 강화도 팀으로 복귀한다.재현의 나찰에게 공격당해 환영을 보게 된 강화도 팀. 처음 나찰과 마주한 순간이 눈앞에 재현되고,마루는 일두의 말과 다른 아빠의 모습을 보는데?!",학산문화사(만화),2026-05-19,https://image.aladin.co.kr/product/39251/86/coversum/k552138302_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392518620,총 8권 포함 (대표작: 별정직 공무원 4 (특별판) - 아크릴 스탠드 + 유니폼 아크릴 키링 + 북마크 2종 + PP카드 2종 (상시 부록 '포토카드' 포함)),역동적인 액션,dynamic and colorful action
엄마를 만나러 가는 길,코미디/힐링,고먕 (지은이),14060,엄마를 찾아 나선 모리의 여정을 담은 네이버웹툰 &lt;엄마를 만나러 가는 길&gt;이 스티커북으로 탄생했다. 장소별 장면과 인물 코멘트를 담아 다이어리나 노트에 붙이며 이야기를 이어간다. 모리의 따뜻한 여정을 일상 속에서 다시 완성해 보는 스티커북이다.,네이버웹툰,2026-06-22,https://image.aladin.co.kr/product/39194/35/coversum/k012138781_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391943528,"총 4권 포함 (대표작: 엄마를 만나러 가는 길 - 모리의 스티커북 /초판 한정 부록: 투명 북마크,작가 친필 사인 면지에 인쇄)",따뜻하고 포근한 힐링,warm and cozy healing
오무라이스 잼잼,코미디/힐링,조경규 (지은이),13708,"《오무라이스잼잼》 16권이 봄꽃과 함께 독자들을 찾아왔다. 16권에는 어느새 수험생이 된 은영과 준영의 일상, 그리고 공부에 지친 아이들을 바라보는 부모의 애틋한 마음이 담겨 있다. 그리고 힘든 시기를 버텨내는 가장 확실한 위로는 역시 맛있는 음식! 가족 이야기의 중심에 풍성한 음식 이야기가 한상 차려졌다.",송송책방,2026-04-01,https://image.aladin.co.kr/product/38900/98/coversum/k412137606_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389009894,총 21권 포함 (대표작: 오무라이스 잼잼 16),빈티지하고 고전적인 화풍,vintage and retro style
내가 키운 S급들,판타지,"비완 (지은이), 근서 (원작), seri (각색)",8723,"&lt;사망한 한유현의 스킬과 능력치가 두 배로 전이됩니다.&gt; 그리고 힘과 함께 동생의 기억도 흘러들어 온다. 마지막 보답의 지속 시간이 끝나 간다. 시간이 되면 라우치타스의 체액이 뿜어내는 독기로 나도 죽을 것이다. &lt;무슨 소원이든 한 가지 들어주는 소원석이 주어집니다!&gt; “……줘, 시간을 되돌려 줘. 내 동생이 죽기 전으로.”",JAYPLEMEDIA,2025-12-22,https://image.aladin.co.kr/product/37726/40/coversum/k482033167_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377264017,총 1권 포함 (대표작: 내가 키운 S급들 1~2 + 굿즈 패키지 세트),역동적인 액션,dynamic and colorful action
야마다의 학급일지,드라마/성장,"아오미 루이 (지은이), 김서은 (옮긴이)",8292,"원래 남학교였던 곳에 입학한 세상만사 성실한 소녀, 야마다 니나. 어느 날, 등교를 거부하는 같은 반 학생 무라타 미하네를 등교시키면, 내신 점수를 주겠다는 담임 선생님의 제안을, 야마다는 마지못해 승낙한다. 그가 있는 오락실로 가자, 여자애들을 거느린 엄청 경박해 보이는 남자가 있었는데…?",서울미디어코믹스(서울문화사),2026-01-22,https://image.aladin.co.kr/product/37145/3/coversum/k762031479_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371450357,총 3권 포함 (대표작: 야마다의 학급일지 1),역동적인 액션,dynamic and colorful action
망그러진 만화,코미디/힐링,유랑 (지은이),7527,'이모티콘 캐릭터 장인' 유랑 작가의 웹툰 '망그러진 만화'가 단행본으로 출간됐다. 카카오 이모티콘 인기 캐릭터인 '망그러진 곰'과 '망그러진 햄터'의 공감 백 퍼센트 귀염뽀짝 일상을 그린 '망그러진 만화'는 SNS에 연재되며 10만 독자의 많은 사랑을 받고 있다.,좋은생각,2022-11-01,https://image.aladin.co.kr/product/30330/64/coversum/k462839236_3.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=303306489,총 1권 포함 (대표작: 망그러진 만화 1 - 망그러진 곰과 햄터의 귀염뽀짝 일상다반사!),따뜻하고 포근한 힐링,warm and cozy healing
어느 날 공주가 되어버렸다,판타지,"스푼 (지은이), 플루토스 (원작)",7249,"천애 고아로 박복한 삶을 살던 주인공은 어느 날 눈을 떠보니, 소설 '사랑스러운 공주님'의 아나타시아 공주로 깨어난다. 하지만 황제인 아버지에게 죽임을 당하는 비운의 공주임을 깨닫고 절망한다. 그녀는 죽임을 당하기 전 일찌감치 황성을 탈출할 계획을 짜는데...",캐롯툰,2022-12-15,https://image.aladin.co.kr/product/19666/71/coversum/k392635839_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=196667148,총 8권 포함 (대표작: 어느 날 공주가 되어버렸다 1 (일반판)),화려하고 우아한 판타지,elegant and ornate fantasy
마루는 강쥐,드라마/성장,모죠 (지은이),6926,"언니와 난생 처음 오래 떨어지게 된 마루! 그것도 두 밤이나 기다려야 한다고?! 하지만 어쩐 일인지, 마루는 언니가 집으로 돌아오지 않을 것이라고 확신하는데….눈물 없이는 볼 수 없는 마루의 이야기부터, 기억력이 조금(?) 나쁜 햄스터 뽀미의 집을 찾아줘야만 하는 마루까지!",문페이스,2025-10-23,https://image.aladin.co.kr/product/36041/16/coversum/k602037745_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=360411647,총 8권 포함 (대표작: 마루는 강쥐 6),빈티지하고 고전적인 화풍,vintage and retro style
오래 보고 싶었다,드라마/성장,"나태주 (지은이), 다홍 (그림)",6268,"우리 시대 가장 따스한 시인으로 불리는 풀꽃 시인 나태주의 시에, 네이버웹툰 &lt;숲속의 담&gt;으로 화제를 모은 다홍 작가의 감성 충만한 창작 스토리와 그림이 어우러져 국내 최초로 만화시집『오래 보고 싶었다』가 출간되었다.",더블북,2023-10-05,https://image.aladin.co.kr/product/32535/12/coversum/k282935124_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=325351296,"총 1권 포함 (대표작: 오래 보고 싶었다 - 내일 더 빛날 당신을 위한 위로, 나태주·다홍 만화시집)",따뜻하고 포근한 힐링,warm and cozy healing
도나츠와 서커스,음악/스포츠,오븐 (지은이),6190,"대폭발 이후 모든 것이 변해버린 세상. 케이크 서커스단의 티켓팔이 '도나츠'는 비록 재주가 없어 무대에서 오르지는 못하지만, 친절한 주인님과 다정한 단원들의 보살핌을 받으며 서커스단의 일원으로 살아간다. 천진난만하고 순진한 '도나츠'의 눈에 마냥 좋아만 보이는 서커스단과 바깥세상. 하지만 단원들의 표정은 어딘가 불안해 보이기만 하고 대폭발 이후 폐허가 되어버린 도시는 어쩐지 수상해 보이기만 하는데….",네이버웹툰,2026-05-28,https://image.aladin.co.kr/product/38801/50/coversum/k542137781_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388015005,총 3권 포함 (대표작: 도나츠와 서커스 1~2 완결 스페셜 세트 - 전2권),빈티지하고 고전적인 화풍,vintage and retro style
시든 꽃에 눈물을,드라마/성장,개 (지은이),5310,"바빠진 태하로 인해 마주하는 날이 점점 줄어든 두 사람. 오랜만에 만난 태하에게서 낯선 향이 스치자 해수는 혹시 그가 벌써 자신에게 질린 것은 아닐지, 다른 사람을 만나고 있는 것은 아닌지 신경 쓰이기 시작한다. 장을 보던 순간에도 이전과 달리 금방 돌아서던 그의 모습이 떠오르고, 자신이 했던 말과 입었던 옷까지 되짚어 보던 해수는 또다시 태하에게 낯선 향이 느껴지자 조심스럽게 향수에 대해 묻는다.",네이버웹툰,2026-05-11,https://image.aladin.co.kr/product/38770/43/coversum/k172137964_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387704370,총 7권 포함 (대표작: 시든 꽃에 눈물을 5),화려하고 우아한 판타지,elegant and ornate fantasy
고래별,무협/사극,나윤희 (지은이),4985,"1926년 일본 지배하의 조선, 군산의 친일파 대지주 집에서 몸종으로 일하던 17세 소녀 수아는 어느 날 큰 상처를 입은 채 해변에 쓰러져 있는 독립 운동가 의현을 발견한다. 처음엔 목숨을 살려야 한다는 마음으로 다가가지만, 점차 자신과는 다른 모습의 의현에게서 전에 없던 감정을 느낀다.",알에이치코리아(RHK),2020-08-12,https://image.aladin.co.kr/product/24840/0/coversum/8925590050_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=248400020,총 1권 포함 (대표작: 고래별 1 - 경성의 인어공주),화려하고 우아한 판타지,elegant and ornate fantasy
야화첩,드라마/성장,변덕 (지은이),4970,"춘화에 빠진 양반가의 도령 윤승호, 정체를 숨긴 춘화가를 찾아 나선다. 존경하는 선비님의 말을 따라 춘화 그리기를 멈춘 백나겸, 운승호에게 붙들려 다시 붓을 쥐게 된다.",레진코믹스(레진엔터테인먼트),2025-09-25,https://image.aladin.co.kr/product/27768/34/coversum/k322734967_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=277683417,총 7권 포함 (대표작: 야화첩 1),화려하고 우아한 판타지,elegant and ornate fantasy
나 혼자만 레벨업,"판타지, 코미디/힐링","다울 (원작), JIN(REDICE STUDIO) (그림), 당도(REDICE STUDIO) (각색)",4967,"전 세계에 게이트가 출현하면서 세상은 큰 변화를 겪고, 사람들은 ‘각성자’와 ‘비각성자’로 나뉘게 된다. 비각성자로서 평범한, 동시에 무력한 일상을 살아가던 성수호는 어느 날 게이트에 갇히게 되고, 자신의 안에 갇혀 있던 감춰진 힘에 눈을 뜨는데….",디앤씨웹툰비즈,2026-02-27,https://image.aladin.co.kr/product/38103/32/coversum/k302034181_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=381033283,총 2권 포함 (대표작: 나 혼자만 레벨업 : 라그나로크 1 - 만화),역동적인 액션,dynamic and colorful action
